n = 1000
time elapsed = 0.02
i              x              V
559       0.559441       0.436863
560        0.56044       0.435901
561       0.561439       0.434938
562       0.562438       0.433976
563       0.563437       0.433012
564       0.564436       0.432049
565       0.565435       0.431085
566       0.566434       0.430121
567       0.567433       0.429157
568       0.568432       0.428192
569       0.569431       0.427227
570        0.57043       0.426261
571       0.571429       0.425295
572       0.572428       0.424329
573       0.573427       0.423363
574       0.574426       0.422396
575       0.575425       0.421429
576       0.576424       0.420461
577       0.577423       0.419494
578       0.578422       0.418525
579       0.579421       0.417557
580        0.58042       0.416588
581       0.581419       0.415619
582       0.582418        0.41465
583       0.583417       0.413681
584       0.584416       0.412711
585       0.585415       0.411741
586       0.586414        0.41077
587       0.587413       0.409799
588       0.588412       0.408828
589       0.589411       0.407857
590        0.59041       0.406886
591       0.591409       0.405914
592       0.592408       0.404942
593       0.593407       0.403969
594       0.594406       0.402997
595       0.595405       0.402024
596       0.596404       0.401051
597       0.597403       0.400077
598       0.598402       0.399104
599       0.599401        0.39813
600         0.6004       0.397155
601       0.601399       0.396181
602       0.602398       0.395206
603       0.603397       0.394232
604       0.604396       0.393256
605       0.605395       0.392281
606       0.606394       0.391305
607       0.607393        0.39033
608       0.608392       0.389354
609       0.609391       0.388377
610        0.61039       0.387401
611       0.611389       0.386424
612       0.612388       0.385447
613       0.613387        0.38447
614       0.614386       0.383492
615       0.615385       0.382515
616       0.616384       0.381537
617       0.617383       0.380559
618       0.618382       0.379581
619       0.619381       0.378602
620        0.62038       0.377624
621       0.621379       0.376645
622       0.622378       0.375666
623       0.623377       0.374687
624       0.624376       0.373707
625       0.625375       0.372727
626       0.626374       0.371748
627       0.627373       0.370768
628       0.628372       0.369787
629       0.629371       0.368807
630        0.63037       0.367826
631       0.631369       0.366846
632       0.632368       0.365865
633       0.633367       0.364884
634       0.634366       0.363902
635       0.635365       0.362921
636       0.636364       0.361939
637       0.637363       0.360957
638       0.638362       0.359975
639       0.639361       0.358993
640        0.64036       0.358011
641       0.641359       0.357028
642       0.642358       0.356046
643       0.643357       0.355063
644       0.644356        0.35408
645       0.645355       0.353097
646       0.646354       0.352113
647       0.647353        0.35113
648       0.648352       0.350146
649       0.649351       0.349163
650        0.65035       0.348179
651       0.651349       0.347195
652       0.652348       0.346211
653       0.653347       0.345226
654       0.654346       0.344242
655       0.655345       0.343257
656       0.656344       0.342272
657       0.657343       0.341287
658       0.658342       0.340302
659       0.659341       0.339317
660        0.66034       0.338332
661       0.661339       0.337346
662       0.662338       0.336361
663       0.663337       0.335375
664       0.664336       0.334389
665       0.665335       0.333403
666       0.666334       0.332417
667       0.667333       0.331431
668       0.668332       0.330444
669       0.669331       0.329458
670        0.67033       0.328471
671       0.671329       0.327484
672       0.672328       0.326498
673       0.673327       0.325511
674       0.674326       0.324523
675       0.675325       0.323536
676       0.676324       0.322549
677       0.677323       0.321561
678       0.678322       0.320574
679       0.679321       0.319586
680        0.68032       0.318598
681       0.681319        0.31761
682       0.682318       0.316622
683       0.683317       0.315634
684       0.684316       0.314646
685       0.685315       0.313658
686       0.686314       0.312669
687       0.687313       0.311681
688       0.688312       0.310692
689       0.689311       0.309703
690        0.69031       0.308714
691       0.691309       0.307725
692       0.692308       0.306736
693       0.693307       0.305747
694       0.694306       0.304758
695       0.695305       0.303769
696       0.696304       0.302779
697       0.697303        0.30179
698       0.698302         0.3008
699       0.699301        0.29981
700         0.7003        0.29882
701       0.701299       0.297831
702       0.702298       0.296841
703       0.703297        0.29585
704       0.704296        0.29486
705       0.705295        0.29387
706       0.706294        0.29288
707       0.707293       0.291889
708       0.708292       0.290899
709       0.709291       0.289908
710        0.71029       0.288917
711       0.711289       0.287927
712       0.712288       0.286936
713       0.713287       0.285945
